0	1
177	0.016942	3342.372881
178	0.016848	3340.741573
179	0.016841	3342.391061
180	0.016759	3343.555556
181	0.016770	3345.303867
182	0.016725	3345.296703
183	0.016662	3345.114754
184	0.016586	3343.391304
185	0.016501	3342.356757
186	0.016447	3341.483871
187	0.016449	3341.775401
188	0.016454	3342.595745
189	0.016387	3340.825397
190	0.016327	3339.368421
191	0.016273	3339.204188
192	0.016253	3339.541667
193	0.016232	3339.979275
194	0.016167	3339.463918
195	0.016131	3339.507692
196	0.016075	3339.979592
197	0.015996	3341.360406
198	0.015967	3341.090909
199	0.015970	3340.643216
200	0.015952	3338.960000
201	0.015900	3339.741294
202	0.015837	3339.267327
203	0.015810	3341.320197
204	0.015745	3341.980392
205	0.015669	3342.068293
206	0.015600	3342.368932
207	0.015526	3340.985507
208	0.015461	3340.192308
209	0.015457	3340.191388
210	0.015421	3339.428571
211	0.015373	3338.843602
212	0.015366	3338.584906
213	0.015344	3338.084507
214	0.015323	3338.261682
215	0.015291	3338.139535
216	0.015222	3338.740741
217	0.015186	3337.806452
218	0.015147	3338.513761
219	0.015095	3338.611872
220	0.015066	3337.072727
221	0.015034	3336.325792
222	0.014976	3336.072072
223	0.014935	3335.677130
224	0.014875	3335.517857
225	0.014830	3336.088889
226	0.014779	3335.362832
227	0.014749	3336.475771
228	0.014769	3335.438596
229	0.014780	3334.515284
230	0.014745	3333.547826
231	0.014725	3331.948052
232	0.014702	3330.931034
233	0.014662	3329.974249
234	0.014645	3330.205128
235	0.014674	3330.161702
236	0.014675	3330.779661
237	0.014636	3329.991561
238	0.014602	3330.756303
239	0.014647	3330.309623
240	0.014687	3329.866667
241	0.014685	3329.410788
242	0.014647	3328.776860
243	0.014618	3328.279835
244	0.014580	3327.540984
245	0.014548	3327.412245
246	0.014530	3328.569106
247	0.014486	3330.089069
248	0.014456	3331.483871
249	0.014460	3332.144578
250	0.014405	3331.168000
251	0.014382	3331.171315
252	0.014363	3332.063492
253	0.014324	3332.426877
254	0.014288	3331.149606
255	0.014307	3329.866667
256	0.014299	3330.390625
257	0.014253	3330.319066
258	0.014247	3330.170543
259	0.014230	3328.555985
260	0.014237	3328.846154
261	0.014190	3328.122605
262	0.014166	3328.045802
263	0.014132	3328.562738
264	0.014083	3328.454545
265	0.014063	3328.769811
266	0.014075	3329.293233
267	0.014043	3328.524345
268	0.014024	3328.776119
269	0.014032	3328.371747
270	0.013996	3327.985185
271	0.013953	3327.881919
272	0.014000	3327.352941
273	0.013958	3326.725275
274	0.013912	3326.394161
275	0.013879	3326.807273
276	0.013868	3326.405797
277	0.013849	3325.501805
278	0.013808	3325.107914
279	0.013769	3324.344086
280	0.013748	3323.300000
281	0.013700	3322.405694
282	0.013682	3321.900709
283	0.013638	3321.512367
284	0.013608	3320.802817
285	0.013579	3320.631579
286	0.013558	3320.755245
287	0.013533	3320.822300
288	0.013510	3321.416667
289	0.013485	3321.038062
290	0.013446	3321.737931
291	0.013411	3321.621993
292	0.013442	3322.178082
293	0.013452	3322.825939
294	0.013409	3323.877551
295	0.013384	3324.800000
296	0.013358	3324.608108
297	0.013336	3324.592593
298	0.013305	3324.657718
299	0.013267	3325.297659
300	0.013230	3323.600000
301	0.013233	3322.378738
